n,median_ns,avg_ns,ops
100,87,87,7
200,104,104,8
400,106,110,9
800,122,120,10
1600,127,134,11
3200,136,143,12
6400,167,175,13
12800,179,180,14
25600,187,187,15
51200,237,225,16
102400,208,209,17
204800,220,220,18
409600,229,229,19
819200,187,196,20
1638400,195,370,21
3276800,79,89,22
