n,median_ns,avg_ns,ops
100,52108,62088,4014
200,128292,128343,10016
400,292081,292227,23248
800,646243,646211,53220
1600,1425695,1427773,120638
3200,3127082,3127375,271280
6400,6813370,6814389,600592
12800,14816362,14851310,1323860
25600,31925475,31967434,2891680
