n,median_ns,avg_ns
100,1142,1152
200,1549,1786
400,3453,3557
800,6274,6301
1600,9431,9734
3200,17045,17059
6400,28599,29098
12800,52416,52685
25600,103395,100672
51200,192079,192428
102400,384458,384700
