n,median_ns,avg_ns
100,5899,5902
200,8450,8578
400,11404,11799
800,18378,19022
1600,33785,33710
3200,70788,70606
6400,140005,138167
12800,280175,276563
25600,566495,559060
51200,1118612,1115767
102400,2217508,2215579
